id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
60884,"Tv. We-31 (Cj Cidade Nova V) - Invasão do Cinco, Cidade Nova, Ananindeua - PA, 67133-140, Brasil",Norte,Pará,ANANINDEUA,COQUEIRO,,INVASAO DO CINCO,-1.3613145889549352,-48.392008741295605,"17/11/2023, 15:30:00",true,true,6° BPM,Ação policial,,,false,27f4f733-93c3-4586-9acd-be33159583f2,People,dead,Sem identificação,"17/11/2023, 15:30:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60865,"Tv. Quintino Bocaiúva - Reduto, Belém - PA, 66053-240, Brasil",Norte,Pará,BELEM,REDUTO,,,-1.4472270517003627,-48.490410200630855,"18/11/2023, 02:00:00",false,false,Não se aplica,Briga,,,false,123f612d-b597-4824-b87f-77b7e91041b2,People,wounded,Sem identificação,,Civilian,32,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60942,"Rua 3, Cabano - Tapanã, Belém - PA, 66833-030, Brasil",Norte,Pará,BELEM,TAPANA,,LOTEAMENTO CABANO,-1.3381496233649546,-48.46602645459746,"21/11/2023, 15:00:00",true,true,ROTAM,Operação policial,,,false,2cea0ee9-c8dc-47c5-b8e1-7856c33ab172,People,dead,Sem identificação,"21/11/2023, 15:00:00",Civilian,,adulto,homem cis,Branca,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60945,"Av. Verde e Branco - Itupanema, Barcarena - PA, Brasil",Norte,Pará,BARCARENA,ITUPANEMA,,,-1.5184880347668424,-48.71935125727053,"21/11/2023, 16:20:00",true,true,14° BPM,Ação policial,,,false,e7dff2fd-e16a-42b2-a0b4-9bbc2bf77f2f,People,dead,Sem identificação,"21/11/2023, 16:20:00",Civilian,,não identificado,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60935,"R. União - Bairro Nova União, Marituba - PA, 67200-000, Brasil",Norte,Pará,MARITUBA,NOVA UNIAO,,,-1.3564086487317586,-48.33446345293674,"21/11/2023, 17:00:00",false,false,Não se aplica,Homicidio/Tentativa,,,false,d6ea1800-7866-47a6-ae83-dd5091839ad3,People,dead,Sem identificação,"21/11/2023, 17:00:00",Civilian,24,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60954,"R. das Orquídeas - Parque Tapanã - Tapanã, Belém - PA, 66825-340, Brasil",Norte,Pará,BELEM,TAPANA,,PARQUE TAPANA,-1.3287880737198228,-48.467106755817454,"23/11/2023, 04:30:00",false,true,Não se aplica,Tentativa/Roubo,,,false,8bec2af1-f563-4c12-b2b2-e8db775e97f7,People,dead,Sem identificação,"23/11/2023, 04:30:00",Civilian,,adulto,homem cis,Negra,automóvel,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61006,"Rua do L, Conj Canarinho - Parque Guajara (Icoaraci), Belém - PA, 66821-125, Brasil",Norte,Pará,BELEM,PARQUE GUAJARA,,CONJUNTO CANARINHO,-1.3359881831519682,-48.45613287478588,"24/11/2023, 09:00:00",true,true,24 BPM,Operação policial,,,false,5879b2ee-7ef3-48d7-b799-0ab0ada8e6d8,People,dead,Sem identificação,"24/11/2023, 09:00:00",Civilian,,adulto,homem cis,Branca,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61006,"Rua do L, Conj Canarinho - Parque Guajara (Icoaraci), Belém - PA, 66821-125, Brasil",Norte,Pará,BELEM,PARQUE GUAJARA,,CONJUNTO CANARINHO,-1.3359881831519682,-48.45613287478588,"24/11/2023, 09:00:00",true,true,24 BPM,Operação policial,,,false,40ea57b5-ee77-49a6-baa4-bc83efaa186a,People,dead,Sem identificação,"24/11/2023, 09:00:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61018,"R. do Canal - Ocupação Agua Cristal - Marambaia, Belém - PA, 66120-500, Brasil",Norte,Pará,BELEM,MARAMBAIA,,OCUPAÇÃO AGUA CRISTAL,-1.4074769726165561,-48.451587604272056,"24/11/2023, 17:00:00",false,false,Não se aplica,Tentativa/Roubo,,,false,f380a2ea-0527-4373-ba71-e5df04f81610,People,dead,Sem identificação,"24/11/2023, 17:00:00",Civilian,21,adulto,homem cis,Branca,outros,não identificado,"Mototaxista ",não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
61014,"R. Santa Fé - Icuí-Guajará, Ananindeua - PA, 67125-384, Brasil",Norte,Pará,ANANINDEUA,ICUI GUARAJA,,,-1.33263,-48.4034843,"25/11/2023, 18:54:00",false,true,,Homicidio/Tentativa,,"Bar,Outros",false,a002d30a-54ca-4662-a9a3-2518b5d66ca3,People,dead,Sem identificação,"25/11/2023, 18:54:00",Agent,,adulto,homem cis,Negra,bar,não se aplica,Agente de segurança,não se aplica,não se aplica,,guarda municipal,outros,fora de serviço,Sem informação
